Title,All Pass,Status,Screening,Tracking,Sub Date,Sales,Active,Sub By,Sub To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Coverage,DVD,Logline,Notes,Festival,Screening,Priority I,Festival Wrap Up,Priority II,Bought By,Insert Coverage Text Here,Insert Script File Here,Insert Coverage File Here
unblinking eye,,Pre-Production,,,04/17/2010,AV Pictures,,,,,,Thriller Drama,Michael Bassett,$10 Mil.,Michael Bassett,,"Juliusz Kossakowski, Kevan Van Thompson",04/19/2010,Jeffrey Dean Morgan,,,,"A homicide detective John Callisto, now a retired recluse after being nearly murdered by a serial killer, is traked down by a relentless journalist. As the two confront each other, dark secrets from their pasts come to light.",,Cannes 2010,,,,,,,,
Borderline,,Post-Production,,,,BAC,,,,,,Comedy Drama,Alexandre Coffre,,,,,05/07/2010,"Francois Damiens, Pascale Arbillot, Gilles Cohen",,,,###############################################################################################################################################################################################################################################################,"(Mirjam) - Saw promo, looks French. Have to see it.",Cannes 2010,,,,,,,,
Devil's Rain,,Completed,,,,BAC,,,,,,Documentary,Philippe Cosson,,,,,,,,,,###############################################################################################################################################################################################################################################################,,,,,,,,,,
Hidden Diary aka The Kitchen,,Complete,,,,BAC,,,,,,Drama Comedy,Julie Lopes-Curval,,"Julie Lopes-Curval, Sophie Hiet",,"Alain Benguigui, Thomas Verhaeghe",05/02/2010,"Catherine Deneuve, Marian Hands, Marie-Josee Croze, Michel Duchaussoy",,,,###############################################################################################################################################################################################################################################################,Louisa knows the project (LC) To be tracked,,,,,,,,,
Living On Love Alone,,Complete,,,,BAC,Active,,,,,Drama,Isabelle Czajka,,,,,05/02/2010,"Anais Demoustier, Pio Marmai",,,DVD,###############################################################################################################################################################################################################################################################,,Cannes 2010,"Mon 17th 12:00@Riviera 1
Tues 18th 10:00@Palais G",,,,,,,
Round da Way (Les Lascars),,Complete,,,,BAC,,,,,,Animation ,"Albert P. Lazaro, Emmanuel Klotz",,,,,,"Vincent Cassel, Diane Kruger, Omar et Fred",,,,"Story based on UK MTV animated series called ""Homies"" ",###############################################################################################################################################################################################################################################################,Cannes 2009 - Market,,,,,,,,
"Sandman and the Lost Sand of Dream, the",,Complete,,,,BAC,Active,,,,,Animation ,"Jesper Moller, Sinem Sakagolu",,Katharina Reschke,,Jan Bonath,05/02/2010,,,,DVD,###############################################################################################################################################################################################################################################################,,Cannes 2010,"Fri 14th 12:00@Palais E
Sun 16th 10:00@Gray 3",,,,,,,
sleepless night,,Production,,,,BAC,,,,,,Thriller,Frederic Jardin,,Frederic Jardin,,Marco Cherqui,05/02/2010,Tomer Sisley,,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
Accidents Happen,,Completed,,,,Bankside Films,,,,,,Dark Comedy,Andrew Lancaster,,Brian Carbee,,Anthony Anderson,04/30/2010,"Geena Davis, Joel Tobeck, Harrison Gilbertson, Harry Cook, Sebastian Gregory",,Coverage,,###############################################################################################################################################################################################################################################################,Screened in Tribeca. Saw trailer. Nothing to chase. W Geena Davis so TV or video only. (SW),Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,,accidentshappen.doc
Blessed,,Completed,,,,Bankside Films,,,,,,Drama,Ana Kokkinos,,"Andrew Bovell, Melissa Reeves",Joey DePaolo,"Al Clark, Adrena Finlay",04/30/2010,"Frances O'Connor, Mirando Otto, Deborra-Lee Furness, Victoria Haralabidou",,Coverage,,"Seven children wander the streets in an urban odyssey through a day and a night. Not all of them will find their way home. Dawn breaks and it's the same day, but now we experience the journey from the mothers' point of view. ",,Cannes 2010 ,,,,,,###############################################################################################################################################################################################################################################################,,blessed.doc
bran nue dae,,Complete,,,04/19/2010,Bankside Films,,,,,,comedy/musical,Rachel Perkins,,"Rachel Perkins, Reg Cribb, JimmyChi, Kuckles, Patrick Duttoo Bin Amat, Michael Manolis Mavromatis, Stephen Pigram",Stephen Kelliher,"Graeme Isaac, Robyn Kershaw",04/19/2010,"Geoffrey Rush, Madga Szubanski",,Coverage,,###############################################################################################################################################################################################################################################################,,,,,,,,###############################################################################################################################################################################################################################################################,,brannuedae.doc
Bran Nue Dae,,Complete,,,,Bankside Films,,,,,,Musical Romance,Rachel Perkins,,Rachel Perkins,,Roybn Kershaw,04/30/2010,"Geoffrey Rush, Jessica Mauboy, Missy Higgins, Tom Budge, Dan Sultan, Ningali Lawford",,,,"When Willie, a teenage Aboriginal boy, runs away from his oppressively religious boarding school, he finds himslef scared and alone facing an epic journey across Australia in order to find his way home. ","Based on a successful Australian stage play, with music influenced by Indigenous music from Oz, casting possibly Geoffrey Rush, the other leads will be unknowns. coverage available, interesting, but bizarre, wait and see - SM
",Cannes 2010,,,,,,,,
bringing up bobby,,Pre-Production,,,04/30/2010,Bankside Films,,,,,,Crime Drama,Famke Janssen,,,Danielle,,04/30/2010,Milla Jovovich,Script,Coverage,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,,
"caller, the",,Post-Production,,,,Bankside Films,,,,,,Supernatural,Matthew Parkhill,,Sergio Casci,,,05/02/2010,"Rachelle Lefevre, Stephen Moyer, Lorna Raver, Luis Guzman",,,,###############################################################################################################################################################################################################################################################,(Mirjam) - Promo looks pretty good actually. But not for HeC.,Cannes 2010,"Screening Footage:
Thur 13th 16:45@Gray 4
Sat 15th 14:45@Gray 4",,Festival Wrap Up,,,,,
Coffin Rock ,,Completed,,,,Bankside Films,,,,,,Psychological Horror,Rupert Glasson,,Rupert Glasson,,"David Lightfoot, Ayisha Davies",04/30/2010,"Lisa Chappell, Sam Parsonson, Robert Taylor",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
"Door, THe",,Pre-Production,,,04/16/2010,Bankside Films,,,,,,Drama,Istvan Szabo,,"Istvan Szabo, Andrea Veszics",Maggie Power,"Jeno Habermann, Sandor Soeth",04/30/2010,Helen Mirren,Script,Coverage,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,Door_The 2009 Jan D4ENG.pdf,Door_The.doc
"Galapagos Affair, The ",,Pre-Production,,,,Bankside Films,,,,,,Sexual Thriller,Andy De Emmony,$6 Mil.,"William Boyd, John Treherne",,Michael Kelk,,"Kristin Scott Thomas, Stellan Skarsgard",Script,,,###############################################################################################################################################################################################################################################################,Script Available,,,,,,,,,
Goodbye People,,Pre-Production,,,02/22/2010,Bankside Films,,,,,Script,Film Noir,Ira Sachs,,"Ira Sachs (40 SHADES OF BLUE, MARRIAGE)",Mirjam Wertheim,,04/30/2010,"Kirsten Dunst, Anton Yelchin, Patricia Clarkson, Ben Foster, Danien Lewis",Script,Coverage,,###############################################################################################################################################################################################################################################################,,Cannes 2010 ,,,,,,###############################################################################################################################################################################################################################################################,,
Goodbye People,,Mirjam read,,,02/22/2010,Bankside Films,,,,,Script,,Ira Sachs,,"Ira Sachs (40 SHADES OF BLUE, MARRIAGE)",,,04/30/2010,"Kirsten Dunst, Anton Yelchin, Patricia Clarkson, Ben Foster, Danien Lewis",,,,###############################################################################################################################################################################################################################################################,, ,,,,,,,,
Little miss piggy,,Pre-Production,,,,Bankside Films,Active,,,,,Horror,,,Corinna Faith,,Laura Hastings-Smith,06/01/2010,Corinna Faith,,,,,Will cover script shortly.,,,,Festival Wrap Up,,,,,
Lou,,Post-Production,,,,Bankside Films,,,,,,Coming of Age Drama,Belinda Chayko,,Belinda Chayko,,"Michael McMahon, Tony Ayres",04/30/2010,"Lily Bell-Tindley, John Hurt, Emily Barclay",,,,###############################################################################################################################################################################################################################################################,Promo Reel available,Cannes 2010 ,,,,,,,,
Outcast,,Complete,,,,Bankside Films,,,,,,Supernatural Thriller,Colm McCarthy,,,,"Brendan McCarthy, Eddie Dick, John Mc Donnell",04/30/2010,"James Nesbitt, Katie Dickie, James Cosmo, Niall Bruton, Hannah Stanbridge",,,,###############################################################################################################################################################################################################################################################,"Supernatural thriller footage; looks creepy, could not understand story. No real cast and film screening here. (SW)",Cannes 2010 ,"Thurs 13 - 11:30 @ Star 4,
Sun 16 - 15:30 @ Star 3",,,,,,,
regret not speaking,,Pre-Production,,,04/30/2010,Bankside Films,,,,,,Erotic Comedy,Richard Kwietniowski,,,Maggie Power,,04/30/2010,"Gael Garcia Bernal, John Hurt with further cast TBA",Script,Coverage,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,,
This Beautiful Fantastic,,Pre-Production,,,03/03/2010,Bankside Films,,Antonio Salas,,,Script,Comedy Drama,Terry Loane,,Simon Aboud,Steve Murphy,"Kami Naghdi, Matt Treadwell",04/19/2010,"Tom Wilkinson, Christopher Ecclestone",Script,Coverage,,###############################################################################################################################################################################################################################################################,,,,,,,,###############################################################################################################################################################################################################################################################,This Beautiful Fantastic.pdf,beautifulfantastic.doc
Beloved Berlin Wall,,Complete,,,,Bavaria Film ,,,,,,Comedy,Peter Timm,,Peter Timm,,Heike Wiehle-Timm,,"Felicitas Woll, Maxim Mehmet, Thomas Thieme",,,,###############################################################################################################################################################################################################################################################,,,,,,,,,,
buick riviera,,Complete,,,04/19/2010,Bavaria Film ,,,,,,Drama,Goran Rusinovic,$1Mil (est),"Goran Rusinovic, Milijenko Jergovic",steve,"Kate Berry, Boris T Matic",04/19/2010,Slavko Stimac,,Coverage,,###############################################################################################################################################################################################################################################################,,,,,,,,###############################################################################################################################################################################################################################################################,,buickriviera.doc
Deliver Us From Evil,,Complete,,,,Bavaria Film ,,,,,,Thriller Horror,Ole Bornedal,,Ole Bornedal,,Mickael Obel,,"Lasse Rimmer, Lene Nystrom Rasted",,,,###############################################################################################################################################################################################################################################################,,,,,,,,,,
Friendship ,,Complete,,,,Bavaria Film ,,,,,,Comedy,Markus Goller,,Oliver Ziegenbalg,,Producers of the  downfall,05/02/2010,"Matthias Schweighöfer, Friedrich Mücke",,,,"A buddy comedy set in 1989 in the days following the fall of the Berlin Wall, follows a young East German who flies to San Francisco with his best friend to find his father, who fled the communist country 12 years before.
 ",,Cannes 2010,"Fri 14 - 13:30@Star 4
Mon 17th 9:30@Arcades 3",,,,,,,
Henry of Navarre ,,Complete,,,,Bavaria Film ,,,,,,Historical Drama,Jo Baier,,"Jo Baier, Cooky Ziesche",,Regina Ziegler,05/02/2010,"Julien Boisselier, Joachim Krol, Armelle Deutsch",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,"Fri 14th 17:30@Lerins 1
Sat 15th 9:30@Palais J",,,,,,,
here comes lola,,Complete,,,,Bavaria Film ,,,,,,Childrens,Franziska Buch,,,,,05/02/2010,"Meira Durand, Felina Czycykowski, Julia Jentch, Nora Tschirner",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,"Fri 14th 14:00@Olympia 4
Sun 16th 15:30@Riviera 2",,,,,,,
How I Ended This Summer ,,Completed,,,,Bavaria Film ,,,,,,Thriller,Alexei Popogrebsky ,,,,,05/02/2010,"Grigory Dobrygin, Sergei Puskepalis",,,,###############################################################################################################################################################################################################################################################,Beautiful but nothing happens. Wallie: Most beautiful film I saw.,"Cannes 2010, Berlin 2010 - Competition","Fri 14th 9:45@Olympia 6
Mon 17th 18:00@Riviera 3",,,,,,,
It's Your Fault,,Complete,,,,Bavaria Film ,,,,,,Drama,Anahí Berneri ,,,,,05/02/2010,"Erica Rivas, Nicasio Galán, Zenón Galán",,,,###############################################################################################################################################################################################################################################################,,"Cannes 2010, Berlin 2010 - Panorama","Sat 15th 10:00@Riviera 3
Mon 17th 13:30@Riviera 4",,,,,,,
Jane's Journey,,Complete ,,,,Bavaria Film ,,,,,,Documentary,Lorenz Knauer,,Lorenz Knauer,,Philipp Schall,05/02/2010,Jane Goodall,,,,###############################################################################################################################################################################################################################################################,"(Stefano) - There was a problem with the last scene, nice portrait, but not enough for theatrical.",Cannes 2010,"Thur 13th 15:30@Lerins 1
Sat 15th 13:30@Lerins 1",,Festival Wrap Up,,,,,
Joy,,Complete,,,,Bavaria Film ,,,,,,Drama,Mijke de Jong ,,,,,05/02/2010,"Samira Maas, Dragan Bakema",,,,###############################################################################################################################################################################################################################################################,,"Cannes 2010, Berlin 2010 - Generation","SAT 15 - 11:30@RIVIERA 2
TUES 18 - 12:00@OLYMPIA 6",,,,BLX: A-Film,,,
"life, above all",,Complete,,,04/19/2010,Bavaria Film ,,,,,,Drama,Oliver Schmitz,,Dennis Foon,,Oliver Stoltz,05/06/2010,Khomotso Manyaka,,,,###############################################################################################################################################################################################################################################################,"(Wallie) - Too much drama and sentiment.  This is a pass. A second opinion says it's beautifully shot, interesting theme but very slow.  Drags on.  ",Cannes 2010 Un Certain Regard,"Fri 14 - 15:30 @Lerins 1
Sun 16 -12:00 @Palais I
Tue 18 - 11:15 @DEBUSSY   
Wed 19 - 13:15 @BAZIN  
Fri 21 - 16:30 @DEBUSSY",,Festival Wrap Up,,"FR: ARP, SW: Senator",,,
Nothing Personal,,Complete,,,,Bavaria Film ,,,,,,Drama,Urszula Antoniak,,Urszula Antoniak,,,,Stephan Rea,,,,###############################################################################################################################################################################################################################################################,,,,,,,,,,
Rabbit Without Ears 2 ,,Complete,,,,Bavaria Film ,,,,,,Romance Comedy,Til Schwiger,,Til Schwiger,,Til Schwiger ,05/02/2010,"Til Schwiger, Nora Tschirner",,,,"Ludo and Anna, two years later. The couple has settled in. Ludo triggers Anna's jealousy when he runs into an old flame. And rightfully so, since Ludo's ex-girlfriend wouldn't mind lighting up that old fire again.",,Cannes 2010,"Sun 16th 17:15@Riviera 2
Tues 18th 9:15@Riviera 4",,,,,,,
"Silence, The",,Complete,,,,Bavaria Film ,,,,,,Crime Drama,Baran Bo Odar ,,Jan Costin Wagner,,,05/02/2010,"Sebastian, Blomberg, Ulrich Thomsen",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,"Sun 16 - 14:00 @Palais I
Mon 17 - 11:30 @Palais J",,,,,,,
Van Diemen's Land,,Complete,,,,Bavaria Film ,,,,,,Drama thriller,Jonathan auf der Heide,,Oscar Redding,,Maggie Miles,,"Oscar Redding, Mark Winter, Tony Wright",,,,"The true story of Alexander Pearce, Australia's most notorious convict, who in 1822 escapes with seven fellow inmates from a penal colony on Van Diemen's Land, Tasmania",,,,,,,,,,
Stones in exile,,Complete ,,,,BBC World,,,,,,Documentary,Stephen Kijak,,,,,05/03/2010,,,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 Directors' Fortnight - Special Screenings,Wed 19 - 17.00 & 19.30 @Palais Stephanie   ,,,,,,,
neither the veils nor the four walls,,In Development,,,04/19/2010,Belladonna Productions,,Illan Girard,,,,Drama,Afia Serena Nathaniel,,Afia Serena Nathaniel,,"Rene Bastian, Abhay Deol, Ilann Giard, Linda Moran, Cordelia Stephens",04/19/2010,,,Coverage,,"From her village in Pakistan, a young mother sets out on an extraordinary and dangerous journey to save her eight-year-old daughter from the fate of an arranged marriage to a powerful warlord.",,,,,,,,###############################################################################################################################################################################################################################################################,,neithertheveilsnorthefourwalls.doc
ALMANYA,,Post-Production,,,,Beta Cinema,,,,,,Melodrama,Yasemin Samdereli,,,,,04/30/2010,"Fahri Ogün Yardim
Petra Schmidt-Schaller
Denis Moschitto
Vedat Erincin
Aylin Tezel",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
Au Revoir Tapei,,Complete,,,,Beta Cinema,,,,,,Drama,Arvin Chen,,,,,04/30/2010,"Jack Yao, Amber Kao, Joseph Chang, Lawrence Ko, Frankie Gao",,,,"A lovesick young man is leaving Taipei in hopes of getting to Paris, but over the course of one extraordinary night, finds the excitement and romance he was longing for is already there.",Asian love story. Unlikely buy (MW).,Cannes 2010 ,"Sat 15 - 11:30 @ Riviera 4,
Mon 17 - 15: 30 @ Riviera 4",,,,,,,
Ayla ,,Complete,,,,Beta Cinema,,,,,,Drama,Su Turhan,,,,,04/30/2010,"Pegah Ferydoni (WOMEN WITHOUT MEN), Mehdi Moinzadeh, Timur Isik
Saskia Vester",,,,"Ayla, an independent young Turkish-German woman, falls in love with Ayhan, who is involved in a murderous plan to restore his family's honor…",To check. Su Turhan is a talented director (LC),Cannes 2010 ,"Fri 14 - 20:30 @ Riviera 1
Sun 16 - 9:30 @ Riviera 2",,,,,,,
Berlin ‘36,,Complete,,,,Beta Cinema,,,,,,Drama,Kaspar Heidelbach,,"Eric Friedler, Lothar Kurzawa",,,,"Karoline Herfurth, Sebastian Urzendowsky, Axel Prahl
August Zirner, Thomas Thieme",,,,###############################################################################################################################################################################################################################################################,,,,,,,,,,
Bon Appetit,,Complete,,,,Beta Cinema,,,,,,Romance Drama,David Pinillos,,,,Juan Gordon,04/30/2010,"Unax Ugalde (CHE: PART ONE), Nora Tschirner (RABBIT WITHOUT EARS), Giulio Berruti (MELISSA P.), Herbert Knaup (RUN LOLA RUN)",,,,###############################################################################################################################################################################################################################################################,To check. Medusa in Italy (LC) Pass (Cineart) Looks dull (MW),Cannes 2010,"Thurs 13 - 10:00 @ Riviera 3,
Tues 18 - 13:30 @ Riviera 4"
Cease Fire,,Complete,,,,Beta Cinema,,,,,,Drama,Lancelot von Naso,,Lancelot von Naso,,"Florian Deyle, Martin Richter",,"Thekla Reuten
Matthias Habich
Hannes Jaenicke
Maximilian von Pufendorf
Husam Chadat",,,,###############################################################################################################################################################################################################################################################,,,
EL NINO,,Post-Production,,,,Beta Cinema,,,,,,Drama,Florian Cossen,,,,,04/30/2010,"Jessica Schwarz, Michael Gwisdek, Raphael Ferro",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 ,
ELECTRO GHETTO,,Complete,,,,Beta Cinema,,,,,,Drama,Uli Edel,,,,,04/30/2010,"Bushido, Moritz Bleibtreu, Karline Schuch, Elyas M'Barek, Hannelore Elsner",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 ,"Sun 16 - 18:00 @ Riviera 3,
Mon 17 - 19:30 @ Arcades 3"
"End Is My Beginning, The",,Post-Production,,,,Beta Cinema,,,,,,Drama,Jo Baier,,,,,04/30/2010,"Bruno Ganz, Elio Germano, Erika Pluhar, Andrea Osvárt, Gianni Cavina",,,,###############################################################################################################################################################################################################################################################,"Great part for Bruno Ganz, maybe Venice. Rai in Italy (LC)",Cannes 2010,
Goethe! ,,Post-Production,,,,Beta Cinema,,,,,,Drama,Philipp Stölzl,$9.5 Mil,,,Christoph Muller,04/30/2010,"Alexander Fehling, Moritz Bleibtreu , Burghart Klaußner , Henry Hübchen , Miriam Stein",,,,###############################################################################################################################################################################################################################################################,"Promo available in Cannes.  About to close Italy, to take a look at (LC) Looks good. Has passion. One to keep in mind for sure (MW). To be tracked",Cannes 2010 ,
Hidden,,Production,,,,Beta Cinema,,,,,,WWII Drama,Agnieszka Holland,,,,,04/30/2010,"Robert Wieckiewicz, Benno Fürmann , Maria Schrader, Herbert Knaup",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 ,
Jerry Cotton,,Complete,,,,Beta Cinema,,,,,,Action Comedy,"Cyrill Boss, Philipp Stennert",,Cyrill Boss,,Christian Becker,04/30/2010,"Christian Tramitz, Christian Ulmen, Heino Ferch , Moritz Bleibtreu , Christiane Paul  and Monica Cruz ",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 ,"Sat 15 - 19:30 @ Aracades 3,
Tues 18 - 15:30 @ Riviera 2"
Keep Surfing ,,Complete,,,,Beta Cinema,,,,,,Documentary,Björn Richie Lob,,,,,04/30/2010,,,,,"A fascinating look at Munich's legendary river-surfing community, a group of six very different characters who all share a passion for going against the flow.",Doc about river surfing. No audience (MW),Cannes 2010,"Fri 14 - 13:30 @ Riviera 2,
Sun 16 - 19:30 @ Riviera 2"
Men in the City,,Complete,,,,Beta Cinema,,,,,,Romantic Comedy,Simon Verhoeven,,Simon Verhoeven,,"Quirin Berg, Max Wiedeman",,"Till Schweiger, Christian Ulmen, Nadja Uhl, Wotan Wilke Mohring",,,,"Five men in search of love and happiness in a time when men aren't really sure anymore what it means to be a man, and what women expect of them.",,,
my best enemy,,Pre-Production,,,,Beta Cinema,Active,,,Film List,,,,,,Steve is reading,,,,Script,,,,,,
MY BEST ENEMY,,Post-Production,,,,Beta Cinema,,,,,,Tragic Comedy,Wolfgang Murnberger,,,,,04/30/2010,"Moritz Bleibtreu,Georg Friedrich, Marthe Keller, Udo Samel, Ursula Strauss",,,,Poland 1943: An unlikely pair – a concentration camp prisoner and a captain in Hitler’s notorious SS - free themselves from the wreckage of a crashed SS airplane. The two appear to be strangely familiar with each other…,,Cannes 2010 ,
"My Words, My Lies, My Love",,Complete,,,,Beta Cinema,,,,,,Drama,Alain Gsponer,,"Alex Buresch, Martin Suter",,"Andreas Fallscheer, Henning Ferber",,"Daniel Brühl, Hannah Herzsprung, Henry Hübchen",,,,###############################################################################################################################################################################################################################################################,,,
Neapolitan Songs,,Post-Production,,,,Beta Cinema,,,,,,Documentary,John Turturro,,,,,04/30/2010,"James Senese, Fausto Cigliano, Raiz, M'Barka Ben Taleb, Pietra Montecorvino, John Turturro",,,,"Italo-American actor John Turturro's ""Buena Vista Social Club""-like feature celebrating the musical roots and traditions of Naples, Italy, as well as its influence on the restof the world.",,Cannes 2010,
"Quiet Life, A",,Post-Production,,,,Beta Cinema,,,,,,Drama,Claudio Cupellini,,,,,04/30/2010,"Toni Servillo, Juliane Köhler , Alice Dwyer, Marco D'Amore",,,,An ex-mobster leaves his family in Italy to protect them and starts an undercover life in Germany. After 15 years his son visits him and his past starts haunting him again.,Promo available in Cannes.,Cannes 2010,
Tiger Team,,Complete,,,,Beta Cinema,,,,,,Family ,Peter Gersina,,"Peter Gersina, Thomas Brezina",,"Susanne Freyer, Hans Ponsold",04/30/2010,"Stipe Erceg, Iris Berben, Deshun Wang",,,,"Biggi, Luk and Patrick accompany the director of the Vienna Zoo to China to collect two panda cubs, but unexpected adventures await them.",,Cannes 2010,"Fri 14 - 9:30@ Riviera 2,
Tues 18 - 13:30 @ Riviera 2"
Vincent Wants to the Sea,,Complete,,,,Beta Cinema,,,,,,Drama,Ralf Hüttner,,,,,04/30/2010,"Florian David Fitz, Karoline Herfurth, Heino Ferch ",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 ,"Sat 15 - 17:30 @ Arcades 3,
Wed 19 - 11:30 @ Riviera 2"
Beat Down,,Post-Production,,,,Bleiberg Entertainment,,,,,,Action,Mike Gunther,,,,,,"Rudy Youngblood, Danny Trejo, Bobby Lashley",,,,###############################################################################################################################################################################################################################################################,"BLX 70
GER 125
SCAN 65
INDO 30k
ME 35k
FR  85k
LA 200
IT 75
PORT 35 ",,
Circle of Pain,,Completed,,,04/02/2010,Bleiberg Entertainment,,,,,,Action/Adventure/Martial Arts ,Daniel Zirilli ,,"Bobby Mort, Sean Patrick O'Reilly, Daniel Zirilli",,"Deborah Gabler, Michael Z Gordon, Sean Patrcik O'Reilly",,"Dean Cain, Bai Ling, Tony Schiena, Heath Herring, Kimbo Slice",,,,A retired fighter returns to the ring to take down a cocky and vicious rival.,,,
Circle of Pain,,Complete,,,,Bleiberg Entertainment,,,,,,Action,,,,,,05/08/2010,"Dean Cain, Bai Ling",,,,Mixed martial arts action film.,,Bleiberg,SAT 15 - 9:30@PALAIS F
Dark Mirror,,Complete,,,,Bleiberg Entertainment,,,,,,Horror,Pablo Proenza,,Pablo Proenza,,Erin Ploss-Campoamor,,David Chisum,,,,"A photographer moves her family into a strange old house, where she discovers an alternate reality reflected in the glass... A dark reality that is closing in on her.
",,,
Freeway Killer,,Completed,,,,Bleiberg Entertainment,,,,,,Crime Thriller,John Murlowski,$1 Mil.,David Birke,,"Shannon Banal, Ehud Bleiberg",,"Scott Leet, Michael Rooker",,,,"The true story of serial killer William Bonin, who claimed dozens of victims of California's highways in the early 1980s. Eventually, he was the first man in the state to die of lethal injection.","BLX 40
FR 80
IT 70
SW  (ger 130)
SCAN 50
LA 120
INDO 15
PORT n/a 
MID EAST gone ",,
Gene Generation 2.0: War of the Bloodlines,,Complete,,,,Bleiberg Entertainment,,,,,,Sci Fi Thriller,Pearry Reginald Teo,$2.5 Mil,Keith Collea,,Keith Collea,,"Bai Ling, Fay Dunaway",,,,###############################################################################################################################################################################################################################################################,,,
Iceman ,,Development,,,,Bleiberg Entertainment,,,,,,Drama thriller,Ariel Vroman,$20 Mil.,Morgan Land,,,,"Mickey Rourke possible, Live Schriber in negotiations",,,DVD,"A family man realizes he needs to make more money to give his duaghter the life she needs, and becomes a cold blooded hitman ",,,
Kirot,,Complete,,,,Bleiberg Entertainment,,,,,,Action Thriller,Danny Lerner,$10 Mil.,Danny Lerner,,,,Olga Kurylenko,,,,###############################################################################################################################################################################################################################################################,,,
My Suicide,,Complete,,,,Bleiberg Entertainment,,,,,,Comedy Drama,David Lee Miller,$2 Mil.,David Lee Miller,,"Larry Janss, Todd Traina",05/04/2010,"David Carradine (in one of his final roles), Joe Mantegna, Brooke Nevin (""Infestation""), Michael Welch (""Twilight"")",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,"FRI 14 - 9:30@PALAIS D
MON 17 - 13:30@GRAY 4"
Necromentia,,Complete,,,,Bleiberg Entertainment,,,,,,Horror,Pearry Teo,,Stephanie Joyce,,Stephanie Joyce,,"Chad Grimes, Layton Matthews",,,,"Explores the use of a tattooed Ouija Board through the lives and perspectives of 4 people.
 ",,,
Phobidilia ,,Complete,,,,Bleiberg Entertainment,,,,,,Drama,"Doron Paz, Yoav Paz",,"Doron Paz, Yoav Paz",,"Guy Behar, Amir Golan",05/04/2010,"Ofer Shechter, Efrat Baumwald",,,,###############################################################################################################################################################################################################################################################,,"Cannes 2010, Berlin 2010 - Generation",THURS 13 - 14:00@PALAIS E
"Point of No Return, The",,Production,,,,Bleiberg Entertainment,,,,,,Animation Thriller,Solo Avital,,Ronen Bergman,,"Ehud Bleiberg, Arial Vromen",,,,,,"At the heart of the story is a former Mossad agent turned a weapon dealer Arnon Cohen, who finds himself right in the midst of an explosive situation threatening not just his own life, but the very existence of his entire country.
","no asks / prepro
Promo in Berlin",,
Small Town Saturday Night,,Complete,,,,Bleiberg Entertainment,,,,,,Drama,Ryan Craig,,Ryan Craig,,"Ryan Craig, Charlie Mason, Justin Moore-Lewy",05/04/2010,"Chris Pine, John Hawkes",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,TUES 18 - 15:30@PALAIS F
"trotsky, the",,Complete,,,,Bleiberg Entertainment,,,,,,Comedy,Jacob Tierney,,Jacob Tierney,,Kevin Tierney,05/06/2010,"Jay Baruchel, Colm Feore, Genevieve Bujold",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,Sat 15 - 12.00 @Palais E                     Sun 16 - 18.00 @Gray 3
"Vicious Kind, The",,Complete,,,,Bleiberg Entertainment,,,,,,Drama,Lee Toland Krieger ,,Lee Toland Krieger,,"Tim Harms, Neil LaBute",,"Adam Scott, Britteny Snow, Alex Frost, J.K. Simmons",,,,"A man tries to warn his brother away from the new girlfriend he brings home during Thanksgiving, but ends up becoming iinfatuated with her in the process","Steven  has screened this film and it's a pass
BLX 60k
FR 100k
IT 90k
SW no price (ger 175)
SCAN 50k
LA 184k
INDO 40k
PORT 35k
ME 35k
AUS 100k",,
brooklyn's finest,,Complete,,,04/19/2010,CAA  ,,,,,,action/crime/drama/thriller,Antooine Fugua,$25Mil (est),Michael C Martin,,"Elie Cohn, Basil Iwanyk, John Langley, Avi Lerner, John Thompson",04/19/2010,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Ellen Barkin, Vincent D'Onofrio",,Coverage,,Three unconnected Brooklyn cops wind up at the same deadly location after enduring vastly different career paths.,,,,,,,,###############################################################################################################################################################################################################################################################,,brooklynsfinest.doc
